Filename,Quality_Label,MQ-3_R1 (kOhm)_mean,MQ-3_R1 (kOhm)_std,MQ-3_R1 (kOhm)_min,MQ-3_R1 (kOhm)_max,MQ-3_R1 (kOhm)_median,MQ-4_R1 (kOhm)_mean,MQ-4_R1 (kOhm)_std,MQ-4_R1 (kOhm)_min,MQ-4_R1 (kOhm)_max,MQ-4_R1 (kOhm)_median,MQ-6_R1 (kOhm)_mean,MQ-6_R1 (kOhm)_std,MQ-6_R1 (kOhm)_min,MQ-6_R1 (kOhm)_max,MQ-6_R1 (kOhm)_median,MQ-3_R2 (kOhm)_mean,MQ-3_R2 (kOhm)_std,MQ-3_R2 (kOhm)_min,MQ-3_R2 (kOhm)_max,MQ-3_R2 (kOhm)_median,MQ-4_R2 (kOhm)_mean,MQ-4_R2 (kOhm)_std,MQ-4_R2 (kOhm)_min,MQ-4_R2 (kOhm)_max,MQ-4_R2 (kOhm)_median,MQ-6_R2 (kOhm)_mean,MQ-6_R2 (kOhm)_std,MQ-6_R2 (kOhm)_min,MQ-6_R2 (kOhm)_max,MQ-6_R2 (kOhm)_median
LQ_Wine02-B03_R08.txt,LQ,3.488302650176678,2.616831199078684,1.3083,11.0298,2.20245,18.37009826855124,7.2533869250146665,10.7688,34.1106,15.3353,25.54139148409894,16.404140055477644,9.9079,65.7509,18.62425,8.692561731448764,4.473294303253774,4.5556,21.0447,6.8201,11.925000918727916,5.911570229190758,5.8441,25.7441,9.6882,19.32665303886926,12.25374056959501,7.2453,49.7895,14.4589
LQ_Wine11-B02_R10.txt,LQ,3.534338621908127,2.5817201720511394,1.4364,10.8548,2.18525,19.936055300353356,7.7218635754139635,11.8843,36.4072,16.4551,28.857885335689044,17.836218687495556,11.8462,71.5528,21.30985,9.31323293286219,4.764884885677854,5.0699,22.2742,7.2152,12.89093109540636,6.259495864860598,6.4887,27.3143,10.45055,20.77178144876325,12.789308159766522,8.1877,51.7138,15.68375
LQ_Wine11-B04_R09.txt,LQ,3.4575662190812717,2.6975916354469374,1.3162,11.1197,2.0683,20.273485971731446,7.62903307632482,12.3723,36.333,16.8293,29.369102402826854,17.999243376570426,12.3508,71.8877,21.62845,8.758244240282686,4.6615346124484,4.6615,21.7348,6.647,13.617298339222614,6.39151922214834,7.009,28.0624,11.17185,22.021385335689047,13.416942242467803,8.8989,54.3889,16.7676
LQ_Wine02-B03_R03.txt,LQ,3.193444346289753,2.615322153328853,1.0157,10.4607,1.8087,19.553263851590103,6.587484387438385,12.4286,33.4381,16.8228,31.125436537102477,16.932340567374986,14.1804,70.5122,24.473599999999998,12.983841872791517,10.50872142283005,4.9352,64.8569,8.880700000000001,13.706084134275617,5.873467105273771,7.4075,26.7833,11.5707,23.248598127208478,12.99461145104108,10.0368,53.7105,18.38845
LQ_Wine02-B01_R07.txt,LQ,3.0606842049469964,2.4996317023039496,1.0079,10.1213,1.77715,19.626955689045936,7.094077448633128,12.0355,34.582,16.6627,29.804387915194344,17.130322560086462,12.7924,70.7386,22.939349999999997,8.351911060070671,4.403064813620831,4.332,20.3813,6.50815,14.063718869257949,5.90894539164234,7.6457,27.4102,12.0145,22.253260353356893,12.87958840525109,8.9972,53.0275,17.43335
LQ_Wine11-B03_R08.txt,LQ,4.339367985865724,3.23621053212269,1.7052,13.3148,2.6281,21.768307667844525,7.346927732433984,14.0028,36.8888,18.453899999999997,32.72637017667845,18.34347984971474,14.7536,75.2341,25.125500000000002,10.248260176678446,5.30255591297874,5.4911,24.7957,7.942500000000001,15.141887420494701,6.5758133125887275,8.2366,29.8067,12.6661,24.95050724381625,14.297659062491062,10.6472,59.0169,19.4691
LQ_Wine02-B01_R10.txt,LQ,3.1130549116607775,2.12985072556939,1.3322,9.2844,2.0734,15.532087703180212,6.40127461096912,8.9201,29.9959,12.9004,21.343127173144875,14.207565660416938,8.403,56.6621,14.9688,8.100840954063605,4.091248051078724,4.5246,19.3735,6.2285,9.667944982332155,4.969512832520436,4.7106,21.5016,7.69415,15.779078268551237,10.118503147236458,6.0751,41.0081,11.581150000000001
LQ_Wine11-B02_R06.txt,LQ,2.9035163604240286,2.332371494732857,0.9986,9.5565,1.7316,18.134973250883395,7.1231212498897625,10.8581,33.7146,14.92425,27.21428307420495,16.72667632821344,11.2878,67.8788,20.1274,7.7617226501766785,4.072882064878293,4.1263,19.0794,5.98405,12.536680282685513,5.79809897814452,6.5728,25.9301,10.33925,19.715158621908127,12.192742908708706,7.7401,49.8046,14.8888
LQ_Wine12-B01_R04.txt,LQ,1.7971080212014134,2.018002672485954,0.1817,7.6084,0.75,16.74424696113074,6.8101050396189144,9.7999,31.5824,13.67575,24.65605890459364,15.639512966386764,10.1123,62.5944,17.862099999999998,6.036412296819788,3.5245136442606837,2.9725,15.9817,4.4413,11.927923144876328,5.487900665909326,6.3116,24.6997,9.77085,18.352903780918727,11.750020593367323,7.0509,47.6487,13.60055
LQ_Wine02-B02_R04.txt,LQ,2.7474415901060074,2.4995855574802723,0.7576,9.8602,1.4123,17.311883215547702,6.560345663679156,10.7214,31.4505,14.1059,25.724125759717314,16.14925375860771,10.9469,64.4604,18.498800000000003,7.280051024734982,4.280256564121132,3.6025,19.2733,5.3161000000000005,11.187330636042404,5.4910840066936,5.773,24.0941,8.80245,18.71544929328622,11.83509528455028,7.5802,48.1213,13.8269
