,Mutual_Information
MQ-3_R1 (kOhm),0.08459174519201351
MQ-4_R1 (kOhm),0.5137649853272352
MQ-6_R1 (kOhm),0.3545855161871605
MQ-3_R2 (kOhm),0.06973738353655623
MQ-4_R2 (kOhm),0.29761708802047915
MQ-6_R2 (kOhm),0.10794479285814251
